"university_name, city",university_ege_2017,university_grow_2016_2017,university_gov_stidents_count,university_stidents_compet_count,university_stidents_olimp_count,university_stidents_quot_count,university_stidents_target_count,university_ege_minus_id,university_name,university_city
"Национальный исследовательский университет ""Высшая школа экономики"", филиал, г. Санкт-Петербург",88.8,1.7,475,394,60,21,0,Да,"Национальный исследовательский университет ""Высшая школа экономики"", филиал", Санкт-Петербург
"Национальный исследовательский университет ""Московский энергетический институт""",71.9,3.5,1461,1309,12,18,122,Да,"Национальный исследовательский университет ""Московский энергетический институт""",Не определено
Национальный исследовательский университет «МИЭТ» (Московский государственный институт электронной техники),73.6,0.1,646,610,2,9,25,Да,Национальный исследовательский университет «МИЭТ» (Московский государственный институт электронной техники),Не определено
"Национальный исследовательский ядерный университет ""МИФИ"", г. Москва",88.4,0.6,513,425,1,8,79,Да,"Национальный исследовательский ядерный университет ""МИФИ""", Москва
Невинномысский государственный гуманитарно-технический институт,57.0,2.4,100,78,0,8,14,Нет,Невинномысский государственный гуманитарно-технический институт,Не определено
Нижегородская государственная медицинская академия,76.3,-0.4,395,70,1,27,297,Да,Нижегородская государственная медицинская академия,Не определено
Нижегородская государственная сельскохозяйственная академия,56.2,1.5,420,392,0,17,11,Нет,Нижегородская государственная сельскохозяйственная академия,Не определено
Нижегородский государственный архитектурно-строительный университет,69.4,1.2,579,558,0,20,1,Нет,Нижегородский государственный архитектурно-строительный университет,Не определено
"Нижегородский государственный инженерно-экономический институт, г. Княгинино",54.4,7.7,200,165,0,30,5,Да,Нижегородский государственный инженерно-экономический институт, Княгинино
Нижегородский государственный лингвистический университет им. Н.А. Добролюбова,87.3,4,100,93,0,5,2,Да,Нижегородский государственный лингвистический университет им. Н.А. Добролюбова,Не определено
Нижегородский государственный педагогический университет им. Козьмы Минина,71.3,1,569,479,0,38,52,Нет,Нижегородский государственный педагогический университет им. Козьмы Минина,Не определено
Нижегородский государственный технический университет им. Р.Е. Алексеева,64.9,0.5,992,762,3,20,207,Да,Нижегородский государственный технический университет им. Р.Е. Алексеева,Не определено
Нижегородский государственный университет им. Н.И. Лобачевского,73.5,0,1201,1015,31,51,104,Да,Нижегородский государственный университет им. Н.И. Лобачевского,Не определено
Нижегородский институт управления - филиал РАНХиГС,76.1,2.4,101,83,0,11,7,Да,Нижегородский институт управления - филиал РАНХиГС,Не определено
Нижневартовский государственный университет,56.8,-3.8,463,433,0,30,0,Нет,Нижневартовский государственный университет,Не определено
Нижнетагильский государственный социально-педагогический институт,70.7,2.5,185,158,0,12,15,Нет,Нижнетагильский государственный социально-педагогический институт,Не определено
Новгородский государственный университет им. Ярослава Мудрого,65.4,0.6,759,637,0,41,81,Да,Новгородский государственный университет им. Ярослава Мудрого,Не определено
Новосибирская государственная архитектурно-художественная академия,76.2,1.8,118,102,1,4,11,Нет,Новосибирская государственная архитектурно-художественная академия,Не определено
Новосибирский государственный аграрный университет,58.0,1.5,642,587,0,28,27,Нет,Новосибирский государственный аграрный университет,Не определено
Новосибирский государственный архитектурно-строительный университет,64.3,0,556,496,0,17,43,Нет,Новосибирский государственный архитектурно-строительный университет,Не определено
Новосибирский государственный медицинский университет,76.4,2.1,440,216,0,14,210,Да,Новосибирский государственный медицинский университет,Не определено
Новосибирский государственный педагогический университет,69.6,1.8,687,513,0,59,115,Да,Новосибирский государственный педагогический университет,Не определено
Новосибирский государственный технический университет,72.3,0.5,1509,1340,4,36,129,Нет,Новосибирский государственный технический университет,Не определено
Новосибирский государственный университет экономики и управления,73.7,-2,106,91,1,9,5,Нет,Новосибирский государственный университет экономики и управления,Не определено
Новосибирский национальный исследовательский государственный университет,84.6,1.9,962,849,66,45,2,Да,Новосибирский национальный исследовательский государственный университет,Не определено
Норильский государственный индустриальный институт,51.8,-3.6,176,171,0,5,0,Нет,Норильский государственный индустриальный институт,Не определено
Омский государственный аграрный университет,52.5,2,656,591,0,59,6,Нет,Омский государственный аграрный университет,Не определено
Омский государственный медицинский университет,67.8,-3.6,388,159,0,16,213,Да,Омский государственный медицинский университет,Не определено
Омский государственный педагогический университет,64.8,0.2,535,416,0,45,74,Нет,Омский государственный педагогический университет,Не определено
Омский государственный технический университет,61.8,-1,1585,1153,1,38,393,Нет,Омский государственный технический университет,Не определено
Омский государственный университет им. Ф.М. Достоевского,66.7,-0.1,615,558,5,31,21,Да,Омский государственный университет им. Ф.М. Достоевского,Не определено
Омский государственный университет путей сообщения,56.2,0.5,619,335,0,5,279,Нет,Омский государственный университет путей сообщения,Не определено
Оренбургский государственный аграрный университет,51.6,,328,262,0,15,51,Нет,Оренбургский государственный аграрный университет,Не определено
Оренбургский государственный медицинский университет,75.1,1.2,430,153,0,28,249,Да,Оренбургский государственный медицинский университет,Не определено
Оренбургский государственный педагогический университет,69.0,0,433,370,0,36,27,Нет,Оренбургский государственный педагогический университет,Не определено
Оренбургский государственный университет,66.1,-1.9,1218,1135,0,55,28,Нет,Оренбургский государственный университет,Не определено
Орловский государственный аграрный университет,56.8,-0.5,387,264,0,24,99,Нет,Орловский государственный аграрный университет,Не определено
Орловский государственный университет,66.4,-0.4,1202,1006,4,81,111,Нет,Орловский государственный университет,Не определено
Пензенский государственный аграрный университет,54.6,1.2,231,195,0,8,28,Да,Пензенский государственный аграрный университет,Не определено
Пензенский государственный технологический университет,62.2,4.3,299,283,0,4,12,Нет,Пензенский государственный технологический университет,Не определено
Пензенский государственный университет,67.9,1.4,1179,832,13,53,281,Да,Пензенский государственный университет,Не определено
Пензенский государственный университет архитектуры и строительства,62.0,0.4,545,448,14,9,74,Нет,Пензенский государственный университет архитектуры и строительства,Не определено
Первый Санкт-Петербургский государственный медицинский университет им. И.П. Павлова,80.9,-1.1,620,176,10,60,374,Да,Первый Санкт-Петербургский государственный медицинский университет им. И.П. Павлова,Не определено
Первый государственный московский медицинский университет им. И.М. Сеченова,83.7,1.2,1400,769,5,103,523,Да,Первый государственный московский медицинский университет им. И.М. Сеченова,Не определено
Пермская государственная сельскохозяйственная академия им. Д.Н. Прянишникова,56.9,2.9,648,576,0,25,47,Нет,Пермская государственная сельскохозяйственная академия им. Д.Н. Прянишникова,Не определено
Пермская государственная фармацевтическая академия,69.6,1,215,186,0,5,24,Да,Пермская государственная фармацевтическая академия,Не определено
Пермский государственный гуманитарно-педагогический университет,72.6,4.4,325,269,1,29,26,Да,Пермский государственный гуманитарно-педагогический университет,Не определено
Пермский государственный медицинский университет,72.8,1.8,450,205,0,4,241,Да,Пермский государственный медицинский университет,Не определено
Пермский государственный национальный исследовательский университет,72.8,0.8,1037,978,2,55,2,Нет,Пермский государственный национальный исследовательский университет,Не определено
Пермский национальный исследовательский политехнический университет,69.0,3.6,1300,1021,2,31,246,Да,Пермский национальный исследовательский политехнический университет,Не определено
Петербургский государственный университет путей сообщения,63.0,-0.1,849,489,0,24,336,Нет,Петербургский государственный университет путей сообщения,Не определено
Петрозаводский государственный университет,66.4,-1.4,1219,1094,0,24,97,Нет,Петрозаводский государственный университет,Не определено
"Поволжский государственный технологический университет, г. Йошкар-Ола",61.8,0.6,803,727,0,18,58,Нет,Поволжский государственный технологический университет, Йошкар-Ола
"Поволжский государственный университет сервиса, г. Тольятти",65.3,-0.4,58,51,0,7,0,Да,Поволжский государственный университет сервиса, Тольятти
"Поволжский государственный университет телекоммуникаций и информатики, г. Самара",60.9,-0.2,481,459,0,4,18,Нет,Поволжский государственный университет телекоммуникаций и информатики, Самара
"Поволжский институт управления - филиал РАНХиГС, г. Саратов",73.3,-0.2,130,103,0,14,13,Да,Поволжский институт управления - филиал РАНХиГС, Саратов
"Приамурский государственный университет имени Шолом-Алейхема, г. Биробиджан",60.8,4,182,151,0,17,14,Нет,Приамурский государственный университет имени Шолом-Алейхема, Биробиджан
"Приморская государственная сельскохозяйственная академия, г. Уссурийск",43.7,-2,255,234,0,20,1,Нет,Приморская государственная сельскохозяйственная академия, Уссурийск
Псковский государственный университет,64.3,-3.7,596,555,0,33,8,Нет,Псковский государственный университет,Не определено
Пятигорский государственный университет,75.5,2.1,328,305,1,13,9,Да,Пятигорский государственный университет,Не определено
Пятигорский медико-фармацевтический институт – филиал Волгоградского государственного медицинского университета,67.5,,275,242,0,13,20,Да,Пятигорский медико-фармацевтический институт – филиал Волгоградского государственного медицинского университета,Не определено
"Российская академия народного хозяйства и государственной службы при Президенте РФ, г. Москва",86.9,1.1,600,395,104,56,45,Да,Российская академия народного хозяйства и государственной службы при Президенте РФ, Москва
"Российская государственная академия интеллектуальной собственности, г. Москва",75.5,1.2,39,35,0,4,0,Нет,Российская государственная академия интеллектуальной собственности, Москва
"Российская таможенная академия, г. Люберцы",83.7,0.6,311,236,0,26,49,Нет,Российская таможенная академия, Люберцы
"Российский государственный аграрный университет — МСХА им. К.А. Тимирязева, г. Москва",62.1,0.3,1692,1563,1,59,69,Нет,Российский государственный аграрный университет — МСХА им. К.А. Тимирязева, Москва
"Российский государственный геологоразведочный университет им. Серго Орджоникидзе, г. Москва",62.2,-3.6,473,454,0,11,8,Да,Российский государственный геологоразведочный университет им. Серго Орджоникидзе, Москва
"Российский государственный гидрометеорологический университет, г. Санкт-Петербург",63.0,-3.7,425,390,0,10,25,Нет,Российский государственный гидрометеорологический университет, Санкт-Петербург
"Российский государственный гуманитарный университет, г. Москва",81.9,1.3,586,534,5,47,0,Да,Российский государственный гуманитарный университет, Москва
"Российский государственный педагогический университет им. А.И. Герцена, г. Санкт-Петербург",73.7,0,1071,785,23,83,180,Да,Российский государственный педагогический университет им. А.И. Герцена, Санкт-Петербург
"Российский государственный профессионально-педагогический университет, г. Екатеринбург",71.2,3.7,332,283,0,25,24,Нет,Российский государственный профессионально-педагогический университет, Екатеринбург
"Российский государственный социальный университет, г . Москва",69.9,2.5,459,411,0,39,9,Да,"Российский государственный социальный университет, г . Москва",Не определено
"Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство), г. Москва",67.0,4,1120,1073,0,37,10,Да,Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство), Москва
"Российский государственный университет нефти и газа им. И.М. Губкина, г. Москва",79.9,3.5,891,538,30,34,289,Да,Российский государственный университет нефти и газа им. И.М. Губкина, Москва
"Российский государственный университет правосудия, г. Москва",82.8,-1,104,74,1,9,20,Да,Российский государственный университет правосудия, Москва
"Российский государственный университет туризма и сервиса, г. Черкизово",75.7,3.8,129,121,0,8,0,Нет,Российский государственный университет туризма и сервиса, Черкизово
"Российский национальный исследовательский медицинский университет им. Н.И. Пирогова, г. Москва",82.3,0.6,1212,555,57,71,529,Да,Российский национальный исследовательский медицинский университет им. Н.И. Пирогова, Москва
"Российский университет дружбы народов, г. Москва",78.8,2.2,873,760,50,53,10,Да,Российский университет дружбы народов, Москва
"Российский химико-технологический университет им. Д.И. Менделеева, г.Москва",76.3,-0.4,984,900,44,15,25,Да,Российский химико-технологический университет им. Д.И. Менделеева,Москва
"Российский экономический университет им. Г.В. Плеханова, г. Москва",85.8,3.2,730,611,27,48,44,Да,Российский экономический университет им. Г.В. Плеханова, Москва
Ростовский государственный медицинский университет,74.9,-0.7,705,259,0,61,385,Да,Ростовский государственный медицинский университет,Не определено
Ростовский государственный университет путей сообщения,60.1,0.5,666,313,0,14,339,Нет,Ростовский государственный университет путей сообщения,Не определено
"Ростовский государственный экономический университет ""РИНХ""",67.8,-1.7,249,231,0,13,5,Да,"Ростовский государственный экономический университет ""РИНХ""",Не определено
Рыбинский государственный авиационный технический университет им. П.А. Соловьева,54.1,2.1,332,314,0,5,13,Да,Рыбинский государственный авиационный технический университет им. П.А. Соловьева,Не определено
Рязанский государственный агротехнологический университет им. П.А. Костычева,55.0,0.3,409,376,0,9,24,Да,Рязанский государственный агротехнологический университет им. П.А. Костычева,Не определено
Рязанский государственный медицинский университет им. И.П. Павлова,74.5,0.7,435,110,0,24,301,Да,Рязанский государственный медицинский университет им. И.П. Павлова,Не определено
Рязанский государственный радиотехнический университет,62.2,-2,626,277,0,17,332,Нет,Рязанский государственный радиотехнический университет,Не определено
Рязанский государственный университет им. С.А. Есенина,69.1,-0.6,468,370,0,25,73,Да,Рязанский государственный университет им. С.А. Есенина,Не определено
Самарская государственная областная академия (Наяновой),70.6,5.2,55,52,0,3,0,Да,Самарская государственная областная академия (Наяновой),Не определено
Самарская государственная сельскохозяйственная академия,50.5,-0.4,278,228,0,12,38,Нет,Самарская государственная сельскохозяйственная академия,Не определено
Самарский государственный медицинский университет,73.8,-1.4,688,279,0,28,381,Да,Самарский государственный медицинский университет,Не определено
Самарский государственный социально-педагогический университет,71.8,0.2,434,302,1,37,94,Нет,Самарский государственный социально-педагогический университет,Не определено
Самарский государственный технический университет,65.1,-0.5,1739,1618,7,21,93,Нет,Самарский государственный технический университет,Не определено
Самарский государственный университет путей сообщения,53.5,-1.3,711,363,0,16,332,Да,Самарский государственный университет путей сообщения,Не определено
Самарский государственный экономический университет,81.1,1.7,211,187,1,23,0,Нет,Самарский государственный экономический университет,Не определено
Самарский национальный исследовательский университет им. академика С.П. Королева,73.0,0.6,1575,1376,15,31,153,Да,Самарский национальный исследовательский университет им. академика С.П. Королева,Не определено
Санкт-Петербургская государственная академия ветеринарной медицины,71.9,-0.3,380,327,0,18,35,Нет,Санкт-Петербургская государственная академия ветеринарной медицины,Не определено
Санкт-Петербургская государственная химико-фармацевтическая академия,79.7,1.8,290,208,6,8,68,Да,Санкт-Петербургская государственная химико-фармацевтическая академия,Не определено
Санкт-Петербургский горный университет,75.3,-0.2,1522,1350,27,25,120,Да,Санкт-Петербургский горный университет,Не определено
Санкт-Петербургский государственный аграрный университет,59.2,1.2,323,285,0,11,27,Нет,Санкт-Петербургский государственный аграрный университет,Не определено
Санкт-Петербургский государственный архитектурно-строительный университет,74.5,-1.4,896,839,0,27,30,Да,Санкт-Петербургский государственный архитектурно-строительный университет,Не определено
Санкт-Петербургский государственный институт психологии и социальной работы,72.8,2,30,27,0,3,0,Да,Санкт-Петербургский государственный институт психологии и социальной работы,Не определено
Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова,63.8,1.3,538,503,0,15,20,Нет,Санкт-Петербургский государственный лесотехнический университет им. С.М. Кирова,Не определено
Санкт-Петербургский государственный морской технический университет,61.4,3.3,799,594,0,16,189,Нет,Санкт-Петербургский государственный морской технический университет,Не определено
Санкт-Петербургский государственный педиатрический медицинский университет,81.3,-0.1,455,215,16,17,207,Да,Санкт-Петербургский государственный педиатрический медицинский университет,Не определено
Санкт-Петербургский государственный технологический институт (технический университет),71.0,-0.3,575,542,0,8,25,Нет,Санкт-Петербургский государственный технологический институт (технический университет),Не определено
Санкт-Петербургский государственный университет,90.7,0.7,1927,1497,335,90,5,Да,Санкт-Петербургский государственный университет,Не определено
Санкт-Петербургский государственный университет аэрокосмического приборостроения,70.4,4.8,1126,605,2,10,509,Нет,Санкт-Петербургский государственный университет аэрокосмического приборостроения,Не определено
Санкт-Петербургский государственный университет гражданской авиации,67.8,1.5,440,260,1,8,171,Нет,Санкт-Петербургский государственный университет гражданской авиации,Не определено
Санкт-Петербургский государственный университет промышленных технологий и дизайна,74.8,0.2,975,753,196,24,2,Да,Санкт-Петербургский государственный университет промышленных технологий и дизайна,Не определено
Санкт-Петербургский государственный университет телекоммуникаций им. М.А. Бонч-Бруевича,72.1,2.7,747,683,0,18,46,Нет,Санкт-Петербургский государственный университет телекоммуникаций им. М.А. Бонч-Бруевича,Не определено
Санкт-Петербургский государственный экономический университет,81.3,2.6,649,568,14,50,17,Нет,Санкт-Петербургский государственный экономический университет,Не определено
Санкт-Петербургский государственный электротехнический университет “ЛЭТИ”,79.7,2.2,1389,1176,21,19,173,Да,Санкт-Петербургский государственный электротехнический университет “ЛЭТИ”,Не определено
Санкт-Петербургский национальный исследовательский Академический университет РАН,96.4,2.9,60,25,33,2,0,Да,Санкт-Петербургский национальный исследовательский Академический университет РАН,Не определено
Санкт-Петербургский политехнический университет Петра Великого,78.3,1.3,2723,2366,58,95,204,Да,Санкт-Петербургский политехнический университет Петра Великого,Не определено
Саратовская государственная юридическая академия,79.1,-20.9,544,377,1,0,166,Нет,Саратовская государственная юридическая академия,Не определено
Саратовский государственный аграрный университет им. Н.И. Вавилова,53.2,2.2,725,399,0,66,260,Нет,Саратовский государственный аграрный университет им. Н.И. Вавилова,Не определено
Саратовский государственный медицинский университет,74.6,-0.2,620,296,0,41,283,Да,Саратовский государственный медицинский университет,Не определено
Саратовский государственный технический университет,63.9,1.3,882,784,2,12,84,Нет,Саратовский государственный технический университет,Не определено
Саратовский национальный исследовательский государственный университет им. Н. Г. Чернышевского,66.1,0.8,1481,1377,0,65,39,Да,Саратовский национальный исследовательский государственный университет им. Н. Г. Чернышевского,Не определено
Саратовский социально-экономический институт (филиал) РЭУ имени Г.В. Плеханова,74.4,0.5,185,169,0,5,11,Нет,Саратовский социально-экономический институт (филиал) РЭУ имени Г.В. Плеханова,Не определено
"Сахалинский государственный университет, г. Южно-Сахалинск",58.1,0.4,325,293,0,24,8,Нет,Сахалинский государственный университет, Южно-Сахалинск
Севастопольский государственный университет,62.6,,1457,1400,1,42,14,Да,Севастопольский государственный университет,Не определено
Северный (Арктический) федеральный университет им. М.В. Ломоносова,64.2,1.7,1359,1208,0,58,93,Нет,Северный (Арктический) федеральный университет им. М.В. Ломоносова,Не определено
"Северный государственный медицинский университет, г. Архангельск",72.9,0.3,378,104,0,17,257,Да,"Северный государственный медицинский университет, г. Архангельск",Не определено
"Северо-Восточный государственный университет, г. Магадан",55.7,-2.4,245,226,0,12,7,Нет,Северо-Восточный государственный университет, Магадан
Северо-Восточный федеральный университет им. М.К. Аммосова,62.5,-0.1,1727,1273,8,92,354,Да,Северо-Восточный федеральный университет им. М.К. Аммосова,Не определено
"Северо-Западный государственный медицинский университет им. И.И.Мечникова, г. Санкт-Петербург",78.4,-2.1,500,138,0,30,332,Да,Северо-Западный государственный медицинский университет им. И.И.Мечникова, Санкт-Петербург
"Северо-Западный институт управления - филиал РАНХиГС, г. Санкт-Петербург",82.1,2.3,209,166,8,23,12,Да,Северо-Западный институт управления - филиал РАНХиГС, Санкт-Петербург
"Северо-Кавказская государственная гуманитарно-технологическая академия, г. Черкесск",64.3,4.9,321,302,0,19,0,Нет,Северо-Кавказская государственная гуманитарно-технологическая академия, Черкесск
"Северо-Кавказский горно-металлургический институт (государственный технологический университет) , г. Владикавказ",51.2,-0.7,572,534,0,15,23,Да,Северо-Кавказский горно-металлургический институт (государственный технологический университет) , Владикавказ
Северо-Кавказский федеральный университет,66.7,0.5,1379,1091,0,85,203,Да,Северо-Кавказский федеральный университет,Не определено
"Северо-Осетинская государственная медицинская академия, г. Владикавказ",68.4,-0.2,326,135,0,30,161,Да,Северо-Осетинская государственная медицинская академия, Владикавказ
"Северо-Осетинский государственный педагогический институт, г. Владикавказ",53.8,0.8,148,135,0,3,10,Нет,Северо-Осетинский государственный педагогический институт, Владикавказ
"Северо-Осетинский государственный университет им. К.Л. Хетагурова, г. Владикавказ",61.5,-0.2,506,456,0,40,10,Нет,Северо-Осетинский государственный университет им. К.Л. Хетагурова, Владикавказ
"Сибирская государственная автомобильно-дорожная академия, г. Омск",55.2,-2.1,470,442,0,24,4,Нет,Сибирская государственная автомобильно-дорожная академия, Омск
"Сибирский государственный индустриальный университет, г. Новокузнецк",58.3,-2.2,620,570,0,47,3,Нет,Сибирский государственный индустриальный университет, Новокузнецк
"Сибирский государственный медицинский университет,  г. Томск",74.4,-2,783,413,23,33,314,Да,"Сибирский государственный медицинский университет,  г. Томск",Не определено
Сибирский государственный университет водного транспорта,53.6,0.6,577,530,0,9,38,Да,Сибирский государственный университет водного транспорта,Не определено
"Сибирский государственный университет геосистем и технологий, г. Новосибирск",67.1,0.5,383,331,0,22,30,Нет,Сибирский государственный университет геосистем и технологий, Новосибирск
"Сибирский государственный университет науки и технологий им. М.Ф. Решетнева, г. Красноярск",57.7,-2.9,1596,1382,2,72,140,Да,Сибирский государственный университет науки и технологий им. М.Ф. Решетнева, Красноярск
"Сибирский государственный университет путей сообщения, г. Новосибирск",64.6,1.2,484,244,0,14,226,Да,Сибирский государственный университет путей сообщения, Новосибирск
"Сибирский государственный университет телекоммуникаций и информатики, г. Новосибирск",67.7,0.9,515,360,1,7,147,Да,Сибирский государственный университет телекоммуникаций и информатики, Новосибирск
"Сибирский институт управления - филиал РАНХиГС, г. Новосибирск",77.6,-0.4,77,60,0,9,8,Да,Сибирский институт управления - филиал РАНХиГС, Новосибирск
Сибирский федеральный университет,65.8,-0.8,3326,3041,11,154,120,Да,Сибирский федеральный университет,Не определено
Смоленская государственная сельскохозяйственная академия,54.9,1.9,115,90,0,10,15,Нет,Смоленская государственная сельскохозяйственная академия,Не определено
Смоленский государственный медицинский университет,74.2,-0.4,409,193,0,14,202,Да,Смоленский государственный медицинский университет,Не определено
Смоленский государственный университет,69.7,0.5,465,425,1,26,13,Нет,Смоленский государственный университет,Не определено
Сочинский государственный университет,65.4,1.1,311,275,0,18,18,Нет,Сочинский государственный университет,Не определено
"Среднерусский институт управления - филиал РАНХиГС, г. Орел",69.8,0.8,105,99,0,0,6,Да,Среднерусский институт управления - филиал РАНХиГС, Орел
Ставропольский государственный аграрный университет,59.9,2.9,518,402,0,35,81,Да,Ставропольский государственный аграрный университет,Не определено
Ставропольский государственный медицинский университет,71.2,2.3,422,102,0,30,290,Да,Ставропольский государственный медицинский университет,Не определено
Ставропольский государственный педагогический институт,68.7,0.8,301,205,0,13,83,Нет,Ставропольский государственный педагогический институт,Не определено
Сургутский государственный педагогический университет,60.6,-1.1,436,316,0,13,107,Нет,Сургутский государственный педагогический университет,Не определено
Сургутский государственный университет Ханты-Мансийского автономного округа — Югры,64.9,2.2,734,651,0,36,47,Нет,Сургутский государственный университет Ханты-Мансийского автономного округа — Югры,Не определено
Сыктывкарский государственный университет,64.9,0.1,734,590,0,50,94,Нет,Сыктывкарский государственный университет,Не определено
Тамбовский государственный технический университет,57.8,-1.2,430,353,0,13,64,Нет,Тамбовский государственный технический университет,Не определено
Тамбовский государственный университет им. Г.Р. Державина,66.3,2.8,529,425,0,49,55,Нет,Тамбовский государственный университет им. Г.Р. Державина,Не определено
Тверская государственная сельскохозяйственная академия,48.8,2.3,115,106,0,8,1,Нет,Тверская государственная сельскохозяйственная академия,Не определено
Тверской государственный медицинский университет,78.0,0,336,160,0,6,170,Да,Тверской государственный медицинский университет,Не определено
Тверской государственный технический университет,59.2,0.1,484,451,0,22,11,Нет,Тверской государственный технический университет,Не определено
Тверской государственный университет,67.0,2.5,791,710,1,44,36,Нет,Тверской государственный университет,Не определено
"Технологический университет, г. Королев",66.2,0,198,171,0,10,17,Нет,Технологический университет, Королев
"Тихоокеанский государственный медицинский университет, г. Владивосток",65.1,1,500,267,0,15,218,Нет,Тихоокеанский государственный медицинский университет, Владивосток
"Тихоокеанский государственный университет, г. Хабаровск",62.1,1.7,906,812,0,62,32,Да,Тихоокеанский государственный университет, Хабаровск
Тольяттинский государственный университет,60.1,0.1,642,612,1,29,0,Нет,Тольяттинский государственный университет,Не определено
Томский государственный архитектурно-строительный университет,69.4,1.3,507,432,1,58,16,Нет,Томский государственный архитектурно-строительный университет,Не определено
Томский государственный педагогический университет,70.9,2.9,393,290,0,34,69,Нет,Томский государственный педагогический университет,Не определено
Томский государственный университет систем управления и радиоэлектроники,69.7,2,742,661,0,10,71,Да,Томский государственный университет систем управления и радиоэлектроники,Не определено
Тульский государственный педагогический университет им. Л.Н. Толстого,67.8,2.3,554,407,5,38,104,Нет,Тульский государственный педагогический университет им. Л.Н. Толстого,Не определено
Тульский государственный университет,64.8,0.7,1368,935,3,60,370,Да,Тульский государственный университет,Не определено
Тюменский государственный институт культуры,70.0,-2.1,90,84,0,3,3,Нет,Тюменский государственный институт культуры,Не определено
Тюменский государственный медицинский университет,75.9,1.5,459,151,1,20,287,Да,Тюменский государственный медицинский университет,Не определено
Тюменский государственный университет,74.3,-0.1,828,772,4,42,10,Да,Тюменский государственный университет,Не определено
Тюменский индустриальный университет,66.3,0.9,1589,1514,0,42,33,Нет,Тюменский индустриальный университет,Не определено
"Удмуртский государственный университет, г. Ижевск",66.1,0.6,1026,917,6,54,49,Да,Удмуртский государственный университет, Ижевск
Ульяновская государственная сельскохозяйственная академия,47.3,0.3,278,252,0,16,10,Да,Ульяновская государственная сельскохозяйственная академия,Не определено
Ульяновский государственный педагогический университет им. И.Н. Ульянова,68.2,0.9,536,416,0,33,87,Да,Ульяновский государственный педагогический университет им. И.Н. Ульянова,Не определено
Ульяновский государственный технический университет,64.4,-0.2,490,393,0,0,97,Да,Ульяновский государственный технический университет,Не определено
Ульяновский государственный университет,64.9,0.2,640,483,0,38,119,Нет,Ульяновский государственный университет,Не определено
Ульяновское высшее авиационное училище гражданской авиации,70.1,-0.1,427,263,0,9,155,Да,Ульяновское высшее авиационное училище гражданской авиации,Не определено
"Университет ИТМО, г. Санкт-Петербург",90.3,3.4,1229,801,384,19,25,Да,Университет ИТМО, Санкт-Петербург
"Уральская государственная архитектурно-художественная академия, г. Екатеринбург",79.0,-1.6,236,210,0,13,13,Нет,Уральская государственная архитектурно-художественная академия, Екатеринбург
"Уральский государственный аграрный университет, г. Екатеринбург",61.4,5.5,336,305,0,11,20,Нет,Уральский государственный аграрный университет, Екатеринбург
"Уральский государственный горный университет, г. Екатеринбург",59.1,-0.1,595,559,0,17,19,Да,Уральский государственный горный университет, Екатеринбург
"Уральский государственный лесотехнический университет, г. Екатеринбург",56.0,1,505,492,0,11,2,Нет,Уральский государственный лесотехнический университет, Екатеринбург
"Уральский государственный медицинский университет, г. Екатеринбург",78.1,1,500,223,0,21,256,Да,"Уральский государственный медицинский университет, г. Екатеринбург",Не определено
"Уральский государственный педагогический университет, г. Екатеринбург",71.2,1,493,384,1,41,67,Нет,Уральский государственный педагогический университет, Екатеринбург
"Уральский государственный университет путей сообщения, г. Екатеринбург",59.5,-3.2,656,310,0,10,336,Нет,Уральский государственный университет путей сообщения, Екатеринбург
"Уральский государственный экономический университет, г. Екатеринбург",71.1,-3,213,189,0,19,5,Нет,Уральский государственный экономический университет, Екатеринбург
"Уральский государственный юридический университет, г. Екатеринбург",80.3,4.8,400,192,4,41,163,Нет,Уральский государственный юридический университет, Екатеринбург
"Уральский институт управления - филиал РАНХиГС, г. Екатеринбург",77.2,-1.6,70,59,0,7,4,Да,Уральский институт управления - филиал РАНХиГС, Екатеринбург
Уральский федеральный университет им. Б.Н. Ельцина,73.0,1.7,3019,2658,33,76,252,Да,Уральский федеральный университет им. Б.Н. Ельцина,Не определено
Уфимский государственный авиационный технический университет,66.9,0.6,1289,812,7,19,451,Да,Уфимский государственный авиационный технический университет,Не определено
Уфимский государственный нефтяной технический университет,76.0,2.9,1066,943,11,40,72,Нет,Уфимский государственный нефтяной технический университет,Не определено
Ухтинский государственный технический университет,59.1,2.7,535,464,0,38,33,Нет,Ухтинский государственный технический университет,Не определено
"Финансовый университет при Правительстве РФ, г. Москва",83.9,1.5,1191,902,98,104,87,Да,Финансовый университет при Правительстве РФ, Москва
Хабаровская государственная академия экономики и права,69.8,-0.8,115,105,0,10,0,Нет,Хабаровская государственная академия экономики и права,Не определено
"Хакасский государственный университет им. Н.Ф. Катанова, г. Абакан",61.6,1.5,566,491,0,45,30,Нет,Хакасский государственный университет им. Н.Ф. Катанова, Абакан
Ханты-Мансийская государственная медицинская академия,69.3,0.2,101,47,0,4,50,Да,Ханты-Мансийская государственная медицинская академия,Не определено
Челябинский государственный университет,69.6,1.9,569,522,6,37,4,Нет,Челябинский государственный университет,Не определено
Череповецкий государственный университет,61.6,0,473,426,0,15,32,Нет,Череповецкий государственный университет,Не определено
