"university_name, city",university_ege_2017,university_grow_2016_2017,university_gov_stidents_count,university_stidents_compet_count,university_stidents_olimp_count,university_stidents_quot_count,university_stidents_target_count,university_ege_minus_id,university_name,university_city
"Волжский государственный университет водного транспорта, г. Нижний Новгород",50.8,-0.6,470,461,0,4,5,Да,Волжский государственный университет водного транспорта, Нижний Новгород
"Волжский институт экономики, педагогики и права",60.7,-0.4,40,35,0,5,0,Да,"Волжский институт экономики, педагогики и права",Не определено
Вологодская государственная молочнохозяйственная академия им. Н.В. Верещагина,55.5,1.8,269,240,0,12,17,Нет,Вологодская государственная молочнохозяйственная академия им. Н.В. Верещагина,Не определено
Вологодский государственный университет,61.1,0.4,823,758,0,35,30,Нет,Вологодский государственный университет,Не определено
Воронежский государственный лесотехнический университет им. Г.Ф. Морозова,64.2,4.9,350,299,0,20,31,Да,Воронежский государственный лесотехнический университет им. Г.Ф. Морозова,Не определено
Воронежский государственный медицинский университет им. Н.Н. Бурденко,75.5,-1.8,438,130,0,26,282,Да,Воронежский государственный медицинский университет им. Н.Н. Бурденко,Не определено
Воронежский государственный педагогический университет,70.5,1.8,412,323,0,36,53,Нет,Воронежский государственный педагогический университет,Не определено
Воронежский государственный технический университет,63.0,0,1587,1203,4,27,353,Нет,Воронежский государственный технический университет,Не определено
Воронежский государственный университет,70.4,-0.7,1691,1609,6,47,29,Нет,Воронежский государственный университет,Не определено
Воронежский государственный университет инженерных технологий,60.5,1.7,561,536,0,16,9,Да,Воронежский государственный университет инженерных технологий,Не определено
"Восточно-Сибирский государственный университет технологий и управления, г. Улан-Удэ",52.4,0.8,535,405,0,41,89,Да,Восточно-Сибирский государственный университет технологий и управления, Улан-Удэ
"Всероссийская академия внешней торговли, г. Москва",87.6,-2.3,176,162,2,12,0,Да,Всероссийская академия внешней торговли, Москва
"Всероссийский государственный университет юстиции (РПА Минюста России), г. Москва",83.6,2.7,90,80,0,10,0,Нет,Всероссийский государственный университет юстиции (РПА Минюста России), Москва
"Вятская государственная сельскохозяйственная академия, г. Киров",56.8,2.6,401,369,0,21,11,Нет,Вятская государственная сельскохозяйственная академия, Киров
"Вятский государственный университет, г. Киров",65.0,-0.7,1494,1324,3,61,106,Да,Вятский государственный университет, Киров
Глазовский государственный педагогический институт им. В.Г. Короленко,69.3,0.1,292,183,0,20,89,Нет,Глазовский государственный педагогический институт им. В.Г. Короленко,Не определено
Горно-Алтайский государственный университет,60.3,0.3,344,306,0,28,10,Нет,Горно-Алтайский государственный университет,Не определено
"Горский государственный аграрный университет, г. Владикавказ",50.4,5.1,351,332,0,18,1,Нет,Горский государственный аграрный университет, Владикавказ
"Государственный аграрный университет Северного Зауралья, г. Тюмень",53.9,1.5,427,369,0,23,35,Нет,Государственный аграрный университет Северного Зауралья, Тюмень
"Государственный академический университет гуманитарных наук, г. Москва",81.1,1.9,99,94,1,4,0,Нет,Государственный академический университет гуманитарных наук, Москва
"Государственный гуманитарно-технологический университет, г. Орехово-Зуево",64.5,1,385,244,0,28,113,Нет,Государственный гуманитарно-технологический университет, Орехово-Зуево
"Государственный институт русского языка им. А.С. Пушкина, г. Москва",89.1,1.5,76,76,0,0,0,Да,Государственный институт русского языка им. А.С. Пушкина, Москва
"Государственный институт экономики, финансов, права и технологий, г. Гатчина",68.3,-1.4,236,229,0,7,0,Нет,"Государственный институт экономики, финансов, права и технологий", Гатчина
"Государственный морской университет им. адмирала Ф.Ф. Ушакова, г. Новороссийск",60.7,0.2,335,263,0,5,67,Нет,Государственный морской университет им. адмирала Ф.Ф. Ушакова, Новороссийск
"Государственный социально-гуманитарный университет, г. Коломна",67.2,0.2,397,256,1,28,112,Нет,Государственный социально-гуманитарный университет, Коломна
"Государственный университет морского и речного флота им. адмирала С.О. Макарова, г. Санкт-Петербург",63.6,0.5,848,754,1,17,76,Нет,Государственный университет морского и речного флота им. адмирала С.О. Макарова, Санкт-Петербург
"Государственный университет по землеустройству, г. Москва",65.6,-1.2,330,307,0,11,12,Нет,Государственный университет по землеустройству, Москва
"Государственный университет управления, г. Москва",79.3,1.5,522,470,0,48,4,Нет,Государственный университет управления, Москва
Грозненский государственный нефтяной технический университет им. академика М.Д. Миллионщикова,50.7,8.6,717,672,0,38,7,Нет,Грозненский государственный нефтяной технический университет им. академика М.Д. Миллионщикова,Не определено
"Дагестанский государственный аграрный университет, г. Махачкала",68.5,1,416,327,0,26,63,Нет,Дагестанский государственный аграрный университет, Махачкала
"Дагестанский государственный медицинский университет, г. Махачкала",69.3,0.5,486,171,0,49,266,Да,Дагестанский государственный медицинский университет, Махачкала
"Дагестанский государственный педагогический университет, г. Махачкала",56.1,4.6,726,694,0,26,6,Нет,Дагестанский государственный педагогический университет, Махачкала
"Дагестанский государственный технический университет, г. Махачкала",53.9,0.9,408,392,0,9,7,Да,Дагестанский государственный технический университет, Махачкала
"Дагестанский государственный университет народного хозяйства, г. Махачкала",51.6,-1.3,501,489,0,12,0,Нет,Дагестанский государственный университет народного хозяйства, Махачкала
"Дагестанский государственный университет, г. Махачкала",57.2,-1.7,1393,1271,6,91,25,Нет,Дагестанский государственный университет, Махачкала
"Дальневосточный государственный аграрный университет, г. Благовещенск",44.8,-3.2,413,354,0,50,9,Нет,Дальневосточный государственный аграрный университет, Благовещенск
"Дальневосточный государственный медицинский университет, г. Хабаровск",66.3,0.1,425,147,0,11,267,Да,Дальневосточный государственный медицинский университет, Хабаровск
"Дальневосточный государственный технический рыбохозяйственный университет, г. Владивосток",48.5,-1.3,417,401,0,16,0,Нет,Дальневосточный государственный технический рыбохозяйственный университет, Владивосток
"Дальневосточный государственный университет путей сообщения, г. Хабаровск",59.5,0.6,885,543,1,15,326,Нет,Дальневосточный государственный университет путей сообщения, Хабаровск
"Дальневосточный институт управления - филиал РАНХиГС, г. Хабаровск",73.6,2.2,70,57,0,8,5,Да,Дальневосточный институт управления - филиал РАНХиГС, Хабаровск
Дальневосточный федеральный университет,68.4,0.9,2240,1933,4,110,193,Нет,Дальневосточный федеральный университет,Не определено
"Донской государственный аграрный университет, пос. Персиановский",55.3,0.4,291,240,0,23,28,Нет,"Донской государственный аграрный университет, пос. Персиановский",Не определено
"Донской государственный технический университет, г. Ростов-на-Дону",57.1,-1.3,2627,2447,0,66,114,Да,Донской государственный технический университет, Ростов-на-Дону
Елецкий государственный университет им. И.А. Бунина,59.8,-1.5,386,353,0,26,7,Да,Елецкий государственный университет им. И.А. Бунина,Не определено
Забайкальский государственный университет,57.2,1.2,966,842,0,75,49,Нет,Забайкальский государственный университет,Не определено
Ивановская государственная медицинская академия,73.3,-0.4,315,115,1,17,182,Да,Ивановская государственная медицинская академия,Не определено
Ивановская государственная сельскохозяйственная академия им. Д.К. Беляева,56.1,3.3,225,197,0,23,5,Нет,Ивановская государственная сельскохозяйственная академия им. Д.К. Беляева,Не определено
Ивановский государственный политехнический университет,55.5,0,308,296,0,9,3,Нет,Ивановский государственный политехнический университет,Не определено
Ивановский государственный университет,65.1,-0.8,260,243,0,15,2,Нет,Ивановский государственный университет,Не определено
Ивановский государственный химико-технологический университет,58.9,0,496,474,0,10,12,Да,Ивановский государственный химико-технологический университет,Не определено
Ивановский государственный энергетический университет,67.5,0.4,574,538,2,12,22,Нет,Ивановский государственный энергетический университет,Не определено
Ижевская государственная медицинская академия,75.2,0.8,418,169,0,13,236,Да,Ижевская государственная медицинская академия,Не определено
