,university_name,university_status,university_city,university_ball
293,Елецкий государственный университет им. И.А. Бунина,,Елец,"21,58"
294,Кемеровский государственный медицинский университет,,Кемерово,"21,27"
295,Северо-кавказский горно-металлургический институт,,Владикавказ,"21,25"
296,Смоленский государственный университет,опорный университет,Смоленск,"21,12"
297,Воронежский институт МВД РФ,,Воронеж,"21,08"
298,Самарский государственный социально-педагогический университет,,Самара,"20,91"
299,Санкт-Петербургский университет государственной противопожарной службы МЧС РФ,,Санкт-Петербург,"20,9"
300,Поволжский государственный университет сервиса,,Тольятти,"20,76"
301,Сыктывкарский государственный университет им. Питирима Сорокина,опорный университет,Сыктывкар,"20,43"
302,Белгородский юридический институт МВД РФ им. И.Д. Путилина,,Белгород,"20,4"
303,Комсомольский-на-Амуре государственный университет,,Комсомольск-на-Амуре,"20,33"
304,Санкт-Петербургский гуманитарный университет профсоюзов,,Санкт-Петербург,"20,03"
305,Уральский государственный лесотехнический университет,,Екатеринбург,20
306,Российский государственный гидрометеорологический университет,,Санкт-Петербург,"19,95"
307,Балтийский государственный технический университет “ВОЕНМЕХ” им. Д.Ф. Устинова,,Санкт-Петербург,"19,89"
308,Московский государственный технический университет гражданской авиации,,Москва,"19,86"
309,Майкопский государственный технологический университет,,Майкоп,"19,71"
310,Академия государственной противопожарной службы МЧС России,,Москва,"19,56"
311,Волгоградская государственная академия физической культуры,,Волгоград,"19,47"
312,Амурский государственный университет,,Благовещенск,"19,37"
313,Военно-космическая академия им. А.Ф. Можайского,,Санкт-Петербург,"19,17"
314,Нижегородский государственный инженерно-экономический университет,,Княгинино,"19,11"
315,Ижевская государственная медицинская академия,,Ижевск,"18,95"
316,Военная академия связи им. Маршала Советского Союза С.М. Буденного,,Санкт-Петербург,"18,91"
317,Университет прокуратуры РФ,,Москва,"18,88"
318,Вятская государственная сельскохозяйственная академия,,Киров,"18,8"
319,Ярославский государственный медицинский университет,опорный университет,Ярославль,"18,56"
320,Российский государственный геологоразведочный университет им. Серго Орджоникидзе,,Москва,"18,4"
321,"Поволжская государственная академия физической культуры, спорта и туризма",,Казань,"18,38"
322,Читинская государственная медицинская академия,,Чита,"18,24"
323,Ивановская пожарно-спасательная академия Государственной противопожарной службы МЧС РФ,,Иваново,"18,15"
324,Нижегородская академия МВД РФ,,Нижний Новгород,18
325,Военный университет Министерства обороны РФ,,Москва,"17,81"
326,Казанский инновационный университет им. В.Г. Тимирясова (ИЭУП),,Казань,"17,81"
327,Курганский государственный университет,,Курган,"17,31"
328,Европейский университет в Санкт-Петербурге,,Санкт-Петербург,"17,22"
329,Дальневосточный государственный медицинский университет,,Хабаровск,"17,18"
330,Псковский государственный университет,опорный университет,Псков,"17,14"
331,Казанский государственный аграрный университет,,Казань,"17,11"
332,Сибирский государственный университет физической культуры и спорта,,Омск,"17,1"
333,Пермский государственный аграрно-технологический университет им. акад. Д.Н. Прянишникова,,Пермь,"16,99"
334,Московский университет им. С.Ю. Витте,,Москва,"16,91"
335,Чувашский государственный педагогический университет им. И.Я. Яковлева,,Чебоксары,"16,66"
336,Академия социального управления,,Москва,"16,58"
337,Череповецкий государственный университет,опорный университет,Череповец,"16,56"
338,Волжский государственный университет водного транспорта,,Нижний Новгород,"16,55"
339,Дагестанский государственный аграрный университет им. М.М. Джамбулатова,,Махачкала,"16,3"
340,Сибирский государственный университет геосистем и технологий,,Новосибирск,"16,24"
341,Ивановская государственная медицинская академия,,Иваново,"16,09"
342,Санкт-Петербургский государственный институт кино и телевидения,,Санкт-Петербург,"16,02"
343,Севастопольский государственный университет,,Севастополь,"16,01"
344,Ставропольский государственный педагогический институт,,Ставрополь,"15,92"
345,Курганская государственная сельскохозяйственная академия им. Т.С. Мальцева,,Лесниково,"15,79"
346,Государственный аграрный университет Северного Зауралья,,Тюмень,"15,65"
347,Югорский государственный университет,,Ханты-Мансийск,"15,63"
348,Сургутский государственный педагогический университет,,Сургут,"15,54"
349,Альметьевский государственный нефтяной институт,,Альметьевск,"15,26"
350,Омская академия МВД РФ,,Омск,"15,21"
351,Государственный морской университет им. адм. Ф.Ф. Ушакова,,Новороссийск,"15,15"
352,Мурманский государственный технический университет,,Мурманск,"14,67"
